beta,seed,kl,entropy_bits,n_params
0.1,0,0.5460376447640946,10.985297465511803,36
0.2,0,0.5301887141792688,10.934307283004646,36
0.3,0,0.5692677338103861,10.833706156013223,36
0.4,0,0.5959867851396461,10.665608424272557,36
0.5,0,0.490876796136934,10.407831250677642,36
0.6,0,0.46546214545039993,10.03657099901836,36
0.7,0,0.3799152197373355,9.532847756926456,36
0.8,0,0.4025719214102972,8.892250958124276,36
0.9,0,0.38530927214375676,8.133670681817378,36
1.0,0,0.29339304401520033,7.30005777528584,36
1.5,0,0.19953766926409766,3.669098674158983,36
2.0,0,0.07353837884993594,1.921550784492404,36
3.0,0,0.021449887112982027,0.6878812719221851,36
