sigma,K,K_unique,mean_alpha_wt,qH,qH_ratio,qG,R_Q10000,Q80,Q80_pred,moment_mse,label
0.5,128,127,5.796875,0.0013341317909961266,1.092920763184027,0.033014019179982146,0.44564078251757644,41050.0,24127.12032343397,0.00023681639184180376,"s=0.5,K=128"
0.5,256,252,5.91796875,0.0017096336269930227,1.4005318672326843,0.03903607094493501,0.4992186625865133,40532.0,18827.869164750216,0.0006271896695366952,"s=0.5,K=256"
0.5,512,501,6.009765625,0.002063603411824307,1.6905039149664725,0.04704063777385445,0.5222523114600846,69128.0,15598.32575592898,0.0011525961845160776,"s=0.5,K=512"
1.0,128,104,2.65625,0.00514083609537539,4.211372929331519,0.07621653795996594,0.8893056182355886,6976.0,6261.385823531405,0.00722939419274341,"s=1,K=128"
1.0,256,182,2.6015625,0.006946309516365572,5.690416755806677,0.0994409232155655,0.9472385105217039,5099.0,4633.936649791516,0.007911743509891848,"s=1,K=256"
1.0,512,303,2.591796875,0.008655247752978648,7.090378959240108,0.1259863720866282,0.975808085883752,3970.0,3718.9875053090714,0.007802969042599629,"s=1,K=512"
2.0,128,37,0.7890625,0.005789518450020274,4.7427735142566085,0.0909981703276597,0.9284422210807852,5846.0,5559.833434604442,0.012505760795057424,"s=2,K=128"
2.0,256,57,0.80859375,0.006708420503693049,5.495538076625346,0.10293582668348551,0.9487214124781815,5073.0,4798.261860740809,0.006406161675694336,"s=2,K=256"
2.0,512,91,0.806640625,0.007332013121122577,6.0063851488236155,0.11147772433189201,0.9584959071849646,4646.0,4390.1664818288955,0.006007539208485372,"s=2,K=512"
3.0,128,20,0.2890625,0.0050101916741086055,4.10434901942977,0.07838103743169812,0.8869657768120496,7026.0,6424.656049592935,0.006292950577292018,"s=3,K=128"
3.0,256,27,0.40234375,0.0057901746787185305,4.74331109680622,0.08980483048438925,0.9243043266177471,5926.0,5559.203311601293,0.006703957345230486,"s=3,K=256"
3.0,512,41,0.388671875,0.006480908177702414,5.309159979173818,0.10006469151582471,0.9417251270691969,5294.0,4966.704876243662,0.003582175467880985,"s=3,K=512"
