beta,n,seed,model_key,model_label,holdout_mode,holdout_seed,holdout_m_train,holdout_k,holdout_pool,train_m,sigma,K,layers,iqp_steps,artr_epochs,maxent_steps,KL_pstar_to_q,TV,qH,Q80,R_Q10000
0.9,8,101,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.7945226937149993,0.44786066001297686,0.1770288998384978,291.0,0.9999923176024443
0.9,8,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.4029826266167047,0.6100764108920755,0.07935104286081447,828.0,0.9920119190673555
0.9,8,101,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.4129870362275827,0.5922038200293578,0.06786318957709604,701.0,0.9987333736743187
0.9,8,101,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,2.90267032735989,0.5619272733617734,0.05933371044531027,1746.0,0.9265410716924389
0.9,8,101,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,3.9356165610701654,0.6070956540201786,0.014317044085185596,108081.0,0.6310452171202947
0.9,8,102,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0638305770753775,0.4789012186653463,0.14656863204415432,790.0,0.9651794191788667
0.9,8,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.358782761026796,0.6122125118218436,0.08728225857629832,775.0,0.997818040195446
0.9,8,102,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.5575627290903449,0.612404403529849,0.05980286593872841,704.0,0.9998802387212061
0.9,8,102,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,3.2078574085654235,0.5900470114541785,0.039062720929906314,2311.0,0.9115881483292609
0.9,8,102,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.8636057556195667,0.6004978021473282,0.020768334337661825,5283.0,0.8813069994535374
0.9,8,103,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.8061344147550793,0.44049006982656647,0.20985785610944388,351.0,0.9981341592681657
0.9,8,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3714435384544357,0.5935288214611463,0.09134719614053255,839.0,0.9905500293234761
0.9,8,103,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.504984070237486,0.5886362081925443,0.07645398212027148,913.0,0.9623700474840188
0.9,8,103,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,2.1413759073943783,0.5687605261349894,0.07389151588525414,1705.0,0.9911747737844682
0.9,8,103,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,3.2903336622558936,0.6386053643239807,0.011193274499029454,517963.0,0.48003641621799414
0.9,8,104,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.819965125045747,0.46300618698711055,0.2081773999529066,328.0,0.9991811475118582
0.9,8,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.5308069759283534,0.6143262660126213,0.08284898762266238,959.0,0.9759293546914275
0.9,8,104,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.5438370561249264,0.6022787689136767,0.07210654008286818,920.0,0.9616446384006213
0.9,8,104,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,3.1443650485355454,0.5986668401867766,0.05388846073906677,1607.0,0.9216166399830794
0.9,8,104,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,3.774566981090234,0.6362358008243088,0.012725295926172567,210856.0,0.5398801164826137
0.9,8,105,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0305153786403711,0.5214975380066498,0.21540717253251068,428.0,0.9999105985291724
0.9,8,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3271348814081831,0.5935393413904058,0.08733680729871826,553.0,0.9999931763539618
0.9,8,105,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.4371498442582193,0.600455695875445,0.07739820809256434,604.0,0.9999003097435768
0.9,8,105,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,3.11066989180806,0.5639996820314856,0.049111089805286834,2063.0,0.9178714953813673
0.9,8,105,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.3899397683454753,0.5966501180851873,0.028423985482145284,5100.0,0.8534012764694472
0.9,9,101,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.033157924426833,0.47758152308002777,0.12947854377482199,873.0,0.9451130908113488
0.9,9,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2915056081139187,0.5932280175913434,0.06367813405813455,851.0,0.9999564213139301
0.9,9,101,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3366911474817758,0.591287098941677,0.05242563421054784,1316.0,0.9938848956119661
0.9,9,101,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,2.265999153412918,0.5568222375946772,0.04370457058600195,1607.0,0.9493049203451418
0.9,9,101,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.1357019907235966,0.636131690761147,0.013463472645292527,11492.0,0.7829622578800179
0.9,9,102,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.8686535464561239,0.4708248691083625,0.09772222135845231,1077.0,0.9822091495870391
0.9,9,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3896765917800158,0.6245945932863586,0.06517557892664091,1138.0,0.9964361157843431
0.9,9,102,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3659721105365357,0.5962450572247879,0.05346358669337162,1310.0,0.9768906462954453
0.9,9,102,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,2.322369544391003,0.5960451166761178,0.040564860843460775,2546.0,0.9636430005005859
0.9,9,102,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.7749247084267714,0.649997860210163,0.0079865880285247,12389.0,0.7563356664241524
0.9,9,103,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.8180665717882488,0.45452604276501846,0.12514246420976083,983.0,0.9978771682564715
0.9,9,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3666036613321713,0.6327330143060284,0.06484492308519216,2011.0,0.9617947014847544
0.9,9,103,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2945681153153739,0.6025991721513886,0.056126962626007346,1309.0,0.9765413154498408
0.9,9,103,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,2.8593884114160315,0.586587127917311,0.03007761569900748,4852.0,0.8655103730752955
0.9,9,103,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,3.7577872019574214,0.633993554247766,0.004125530128393803,229406.0,0.33334818142630873
0.9,9,104,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.7783190719237179,0.45168615555989444,0.1176156444134638,993.0,0.9842818438128529
0.9,9,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2525113844845963,0.5893794945690847,0.07244819991140079,1237.0,0.9973583832048188
0.9,9,104,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.343526382195607,0.5839929680005933,0.056597671951856214,1758.0,0.9783177221324475
0.9,9,104,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,2.1350391513097966,0.5712779860549362,0.044034765913306066,2295.0,0.9805919061705005
0.9,9,104,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.7917620852847422,0.6514292884750494,0.010280066498233332,24255.0,0.7178344364442645
0.9,9,105,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.9332988256398034,0.4763586761485974,0.12207097080113079,1396.0,0.9758714576050185
0.9,9,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3164393740579974,0.6094290895825043,0.06531063400067572,1308.0,0.9927324008611658
0.9,9,105,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.3765413168874576,0.6033324466701129,0.05713933643308039,1650.0,0.9575844032213938
0.9,9,105,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.4209802149419506,0.5994333856667666,0.050249359511086576,1216.0,0.989022685315358
0.9,9,105,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.5491597672013047,0.635928899684214,0.008071174316103652,25135.0,0.6665282510988346
0.9,10,101,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.8399478415105814,0.4355578489860691,0.06408228830035212,2543.0,0.9369109836245517
0.9,10,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1132825009183616,0.5804778099262923,0.0412708331160318,2994.0,0.9633657283264778
0.9,10,101,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1245847392009152,0.5723480947612969,0.03944662006251421,3689.0,0.9349736329941825
0.9,10,101,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1561752830434768,0.5320683967243889,0.03648257394407356,2375.0,0.9799445062288072
0.9,10,101,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,1.7284708609151838,0.6087486944312737,0.01263391762958678,16763.0,0.754495454132029
0.9,10,102,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.5690404515646796,0.3883257963399843,0.09321870283218356,2463.0,0.9500829299450372
0.9,10,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0333735618905586,0.5578054476066052,0.0469430557283969,3833.0,0.9297552940710194
