curve_group,curve_label,sigma,K,is_best_setting,Q80,AUC_norm,R10000,Q80_delta_vs_mse,AUC_delta_vs_mse,reference_loss
iqp_parity,IQP Parity,1.0,512,1,1375.8847097916887,0.8996837914148428,0.9895621282737247,727.8912070312772,0.07432070198034169,prob_mse
iqp_parity,IQP Parity,0.5,512,0,1652.776247292133,0.8622719543418703,0.9509716872185768,450.999669530833,0.03690886490736922,prob_mse
iqp_parity,IQP Parity,3.0,128,0,2633.572012540707,0.828864322494074,0.9529238792581882,-529.7960957177411,0.00350123305957295,prob_mse
iqp_parity,IQP Parity,2.0,128,0,2675.6701835632684,0.8245998168724756,0.9523010156107132,-571.8942667403026,-0.0007632725620254632,prob_mse
iqp_parity,IQP Parity,3.0,256,0,2769.0721632076284,0.8052990986103199,0.8973035388784727,-665.2962463846625,-0.0200639908241812,prob_mse
iqp_parity,IQP Parity,1.0,256,0,2874.7737868013423,0.8265099107730902,0.9616175068114531,-770.9978699783765,0.0011468213385891213,prob_mse
iqp_parity,IQP Parity,2.0,256,0,3008.4195798743126,0.8030286754779079,0.9042041719246035,-904.6436630513467,-0.02233441395659319,prob_mse
iqp_parity,IQP Parity,1.0,128,0,3079.8367430284925,0.7873871824310086,0.8878691172034123,-976.0608262055266,-0.037975907003492515,prob_mse
iqp_parity,IQP Parity,0.5,256,0,3127.1199894407787,0.8024471228755699,0.9206237377530571,-1023.3440726178128,-0.022915966558931244,prob_mse
iqp_parity,IQP Parity,2.0,512,0,3829.478718411106,0.7853680230421939,0.9344292442998064,-1725.7028015881401,-0.03999506639230721,prob_mse
iqp_parity,IQP Parity,3.0,512,0,4248.831348296583,0.7692959721464108,0.9126048318526438,-2145.0554314736173,-0.05606711728809033,prob_mse
iqp_parity,IQP Parity,0.5,128,0,5046.150148185023,0.7342593751268234,0.8773348209738231,-2942.374231362057,-0.09110371430767772,prob_mse
benchmark,Target p*,nan,nan,0,1114.0595594947988,0.9231542977685331,0.9968146380386568,989.7163573281671,0.09779120833403199,prob_mse
benchmark,IQP MSE,nan,nan,0,2103.775916822966,0.8253630894345011,0.9127831046239436,0.0,0.0,prob_mse
benchmark,Uniform,nan,nan,0,6591.515519993656,0.6260812098946332,0.9129875721552416,-4487.73960317069,-0.19928187953986787,prob_mse
