beta,model_key,model_label,series_type,seeds_total,seeds_reached,resolved,q80_q25,q80_median,q80_q75,q80_mean,q80_std
0.1,iqp_parity_mse,IQP (parity),model,5,5,1,6120,7498,8459,7946.4,2853.344466
0.1,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,6262,19447,230628,165826.2,218129.079909
0.1,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,7513,7549,8484,8192,1431.302344
0.1,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,2373471,9834412,11767815,8450488.8,6482310.314734
0.1,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,19681,21051,21563,20995.4,4298.689921
0.2,iqp_parity_mse,IQP (parity),model,5,5,1,4047,7699,9638,7459,3169.90126
0.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,6303,7134,10503,41909.2,69489.777117
0.2,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,6259,6260,7030,6423.6,579.958826
0.2,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,201870,1342675,15545998,42397564.4,76460634.513121
0.2,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,13067,16661,23010,18341.6,5891.908268
0.3,iqp_parity_mse,IQP (parity),model,5,5,1,2672,3343,3790,3351.4,733.359012
0.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,4291,4356,23089,99272,180770.81612
0.3,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,4656,4821,4980,4887.6,283.065081
0.3,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,401456,701212,738770,1959650.4,2896473.823893
0.3,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,9821,12576,13024,12381,3282.654657
0.4,iqp_parity_mse,IQP (parity),model,5,5,1,3449,5401,7128,5497.8,1971.922047
0.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,4053,4223,4424,4189.8,231.265562
0.4,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,4352,4399,5535,4985.8,860.191932
0.4,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,152239,1182147,1647790,951932.6,720522.812059
0.4,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,10626,11006,11007,12524.6,4627.919083
0.5,iqp_parity_mse,IQP (parity),model,5,5,1,2533,2536,3103,3026,1033.988201
0.5,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,3231,3585,3892,3608,359.420088
0.5,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,3845,4142,4162,3938.2,422.638569
0.5,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,1111116,1697280,3995012,3864179.4,4294418.687181
0.5,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,9726,10117,12856,11273.2,3001.626719
0.6,iqp_parity_mse,IQP (parity),model,5,5,1,2117,3219,3480,3019.2,815.040711
0.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,3466,3671,3745,3649.6,277.484126
0.6,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,3253,3632,3725,3577.4,353.985649
0.6,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,101788,154414,382962,430896.2,547511.822481
0.6,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,8946,10556,11224,12302,5198.732499
0.7,iqp_parity_mse,IQP (parity),model,5,5,1,1874,2383,2410,2178.6,387.858531
0.7,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,2734,2983,3960,3256.6,656.166625
0.7,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,2877,2906,3187,3004,202.93053
0.7,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,106669,124470,1212992,1086113,1463346.694231
0.7,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,8179,10085,11691,14277.8,9811.237871
0.8,iqp_parity_mse,IQP (parity),model,5,5,1,1924,2076,2857,2351.6,488.178902
0.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,3580,3593,3604,3637.2,272.29058
0.8,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,3548,3834,4043,4024.2,687.394617
0.8,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,10905,12620,30807,20273.2,13921.176953
0.8,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,11188,14321,16810,14261,5492.907755
