beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.5,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.34237304407609476,0.02410547513931233,4970.0,0.8997677896661804
0.5,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5376242104753155,0.012320042310442744,3892.0,0.9411606162992205
0.5,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5345596548460378,0.012760054489669805,3843.0,0.9457184617790169
0.5,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.7608523128103037,0.006318139218743387,inf,0.40162258358048775
0.5,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6420511843017681,0.010555553506497978,10117.0,0.7979037780841899
0.5,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.34807420689543445,0.026921373696616912,2533.0,0.9299664463395905
0.5,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5303965557239387,0.015130747573205068,3585.0,0.9508655825925059
0.5,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5463064469241115,0.015595301163097918,4143.0,0.9526383961796048
0.5,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.6673958726905894,0.005204950898274913,inf,0.5360427793820639
0.5,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6337054034087719,0.010603152503494691,7464.0,0.8460550303842991
0.5,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.36982198164494523,0.026772022019134197,3103.0,0.9234088876142508
0.5,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.544579350651067,0.013629571690835316,4122.0,0.9585106883373488
0.5,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5545623888233389,0.012712152229390608,4378.0,0.927790332014137
0.5,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.6849925438733493,0.003477740311987859,inf,0.3635429092991168
