beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.1,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.38958533491619407,0.010846768328120798,8459.0,0.8290378506430776
0.1,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6716881313132868,0.005974809769558265,567235.0,0.5236152656670929
0.1,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5227974672341297,0.005967180833710972,7513.0,0.863330250720533
0.1,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.8507602824377374,0.0014660691087091213,18063207.0,0.11921075950183702
0.1,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6382477369767525,0.0053886866843915245,21563.0,0.6620315802828612
0.1,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.3696381771804718,0.010334371960557785,13032.0,0.7641076012353568
0.1,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.569620270783021,0.004857229097332874,19447.0,0.6932647542597847
0.1,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5314826867175264,0.0045789071067771645,10799.0,0.7823005380914474
0.1,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.6086931387327541,0.004266902028128687,213539.0,0.4304062770775066
0.1,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6450966851669016,0.003553362433511703,28053.0,0.5803999382256189
0.1,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.36155354602351997,0.009958409207187355,7498.0,0.8392559141988818
0.1,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5843928652120374,0.0029522516001483814,230628.0,0.3592338493951351
0.1,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5269159667172955,0.00547076282902871,7549.0,0.8642872654581965
0.1,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.816809384777289,0.0006536043152244931,9834412.0,0.16154940066164994
0.1,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6420853126054626,0.006536859200659466,21051.0,0.6915155641250157
0.1,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.3532460630341513,0.011262058963177822,6120.0,0.8667760314256695
0.1,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5036332829806195,0.0058128712318836675,6262.0,0.9093827142501564
0.1,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5226447614887223,0.0058766351590347305,8484.0,0.8351587933417568
0.1,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.7078793137027222,0.004246120060100539,11767815.0,0.256994617263672
0.1,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6307644572777183,0.004386892715198733,19681.0,0.6967125086208831
0.1,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.36431566059349374,0.012410175536554777,4623.0,0.9307358300076916
