variant,family,seed,param_count,d_model,layers,nhead,dim_ff,val_nll,test_kl
iqp_parity,iqp,101,24,,1,,,6.649754406957342,0.47958244083134277
tiny,transformer,101,729,8,1,2,16,7.10765804925334,1.0119284084739244
small,transformer,101,2481,16,1,2,32,7.053707000567008,0.8926295319467211
medium,transformer,101,9057,32,1,4,64,7.046782142888171,1.1504269374825955
large,transformer,101,67969,64,2,4,128,7.423229392536338,1.5883794553365018
iqp_parity,iqp,102,24,,1,,,6.748022595325689,0.7211466904992092
tiny,transformer,102,729,8,1,2,16,7.064971841224547,1.0067601298205044
small,transformer,102,2481,16,1,2,32,6.9156311454768495,1.1820341940270847
medium,transformer,102,9057,32,1,4,64,6.902272670788938,1.2373231360825838
large,transformer,102,67969,64,2,4,128,6.953858142883621,1.4508996934255751
iqp_parity,iqp,103,24,,1,,,6.655952344967276,1.2234002130782313
tiny,transformer,103,729,8,1,2,16,6.974717466829379,1.0123163167113645
small,transformer,103,2481,16,1,2,32,7.006827986861503,1.0142650159789564
medium,transformer,103,9057,32,1,4,64,6.9939557808997135,1.0677378145258922
large,transformer,103,67969,64,2,4,128,7.002343811079692,1.3631531373330628
iqp_parity,iqp,104,24,,1,,,6.722359776472944,0.5951567290984181
tiny,transformer,104,729,8,1,2,16,7.05244372658643,0.8904311435357857
small,transformer,104,2481,16,1,2,32,7.002297391446832,1.1944282833514586
medium,transformer,104,9057,32,1,4,64,7.014361016797693,1.1714092993938188
large,transformer,104,67969,64,2,4,128,7.088453223858758,1.43570003025537
iqp_parity,iqp,105,24,,1,,,6.5665819088347135,0.6881641164733616
tiny,transformer,105,729,8,1,2,16,6.778637079842869,0.9948476035477282
small,transformer,105,2481,16,1,2,32,6.772204794769875,0.991025389930895
medium,transformer,105,9057,32,1,4,64,6.725926941742995,0.9713729273345892
large,transformer,105,67969,64,2,4,128,7.001882960453745,1.243062954338573
