beta,model_key,model_label,qH,qH_ratio,Q80,Q80_pred,R_Q1000,R_Q10000,fit_tv_to_pstar,fit_kl_pstar_to_q,fit_js_dist_to_pstar,fit_prob_mse_to_pstar,holdout_size,p_star_holdout,sigma,K,seed,train_m
0.6,iqp_parity_mse,IQP (parity),0.06527165777988858,5.5698481305504925,648.0,295.8903696660816,0.8584451470570175,0.996867607623798,0.43479010013091407,0.7813112143519902,0.3835757117500969,5.186858429274284e-06,12.0,0.19936257384660594,2.0,128.0,46.0,500.0
0.6,iqp_prob_mse,IQP (prob-MSE),0.024413254892688377,2.083264417509408,1954.0,791.0970918913973,0.6667177898282445,0.9406144962059471,0.5014468780579987,1.1824852100291763,0.43874996517771936,6.462239765090634e-06,12.0,0.19936257384660594,2.0,128.0,46.0,500.0
0.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.03414907619125208,2.9140545016535104,1592.0,565.5571717678458,0.698063004358127,0.993379339833492,0.6657076747630113,1.6085632007813282,0.5860513340166643,7.162337936315665e-06,12.0,0.19936257384660594,2.0,128.0,46.0,500.0
0.6,classical_dense_fields_xent,Dense Ising+fields (xent),0.02816627803795242,2.4035223925719396,773.0,685.6871512517812,0.8679970204927798,0.9999996448818296,0.5224622993420559,0.9544428196340996,0.5027789815983132,4.9575498122395005e-06,12.0,0.19936257384660594,2.0,128.0,46.0,500.0
0.6,classical_transformer_mle,AR Transformer (MLE),0.017390132714391025,1.483957991628034,2200.0,1110.5869786276398,0.6314853272284434,0.9637081287442464,0.5108640574936301,1.1720424507134508,0.5041885640478452,5.492842550183447e-06,12.0,0.19936257384660594,2.0,128.0,46.0,500.0
0.6,classical_maxent_parity,"MaxEnt parity (P,z)",0.032119198245998834,2.740838250325234,672.0,601.2994098199541,0.8983519259040308,0.9999999225512536,0.5240686640999194,0.942350796982686,0.5017162623976432,4.923880925906995e-06,12.0,0.19936257384660594,2.0,128.0,46.0,500.0
0.8,iqp_parity_mse,IQP (parity),0.08295768345532324,7.07905565485425,381.0,232.80851326580657,0.9114142437111248,0.9991684291095586,0.49308847217643287,0.9485958596332873,0.4275503815514058,1.5246556208857966e-05,12.0,0.3404153654878613,2.0,128.0,46.0,500.0
0.8,iqp_prob_mse,IQP (prob-MSE),0.02416784093569435,2.062322426512585,1985.0,799.1303402152388,0.6627271006776654,0.955236574162751,0.6017844425584562,1.7003026015249811,0.5157004491966755,1.856498741668199e-05,12.0,0.3404153654878613,2.0,128.0,46.0,500.0
0.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.04116852319125979,3.5130473123208357,975.0,469.1267369364726,0.8050601771767916,0.9931950860726305,0.621613944461963,1.4987917141078708,0.5679042489953792,1.6847754316194678e-05,12.0,0.3404153654878613,2.0,128.0,46.0,500.0
0.8,classical_dense_fields_xent,Dense Ising+fields (xent),0.03278410862448257,2.7975772692891794,663.0,589.1041653878129,0.8987651513362024,0.999997805315611,0.5631627659270088,1.2866298124092896,0.5371164138122303,1.654344841364019e-05,12.0,0.3404153654878613,2.0,128.0,46.0,500.0
0.8,classical_transformer_mle,AR Transformer (MLE),0.009660440136592705,0.8243575583225775,11959.0,1999.2106649522805,0.33478039596783454,0.7766346268402158,0.5244323225495722,2.3398971727165447,0.5408483666305248,1.7744941529614742e-05,12.0,0.3404153654878613,2.0,128.0,46.0,500.0
0.8,classical_maxent_parity,"MaxEnt parity (P,z)",0.03663641096211645,3.1263070687672703,590.0,527.1601240956682,0.9245360874027817,0.999999997513293,0.5681957386074257,1.2191273301160273,0.5352175034867784,1.6061034031389646e-05,12.0,0.3404153654878613,2.0,128.0,46.0,500.0
1.0,iqp_parity_mse,IQP (parity),0.12632553930940416,10.779779354402487,280.0,152.88480108449022,0.9246216865593104,0.999940096312271,0.5240300078712496,1.0235409280226226,0.45878150673844487,3.971859307959611e-05,12.0,0.5105780673651632,2.0,128.0,46.0,500.0
1.0,iqp_prob_mse,IQP (prob-MSE),0.025534653625848426,2.1789571094057325,2124.0,756.3546869364473,0.6595940653780612,0.9379844863093005,0.7019551910724573,2.4056945365396833,0.5918690766644783,5.0086257230960946e-05,12.0,0.5105780673651632,2.0,128.0,46.0,500.0
1.0,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.06779863451004939,5.785483478190881,698.0,284.8620047996175,0.8655488654815003,0.9999257484264125,0.6819930972143895,1.6531856893264272,0.5948012268035174,4.18020169926164e-05,12.0,0.5105780673651632,2.0,128.0,46.0,500.0
1.0,classical_dense_fields_xent,Dense Ising+fields (xent),0.04622838500961755,3.944822187487364,446.0,417.77914035264683,0.9653616329929465,0.9999999998872909,0.6090590253748775,1.6273273810172175,0.5705929278696246,4.666460711774096e-05,12.0,0.5105780673651632,2.0,128.0,46.0,500.0
