beta,model,R_Q10000_mean,R_Q10000_std
0.6,d3pm_base,0.9070594661945158,0.033169877526902904
0.6,d3pm_strong,0.8999342577840325,0.041409090392346845
0.6,iqp_parity,0.956358835193828,
0.8,d3pm_base,0.8748036713067752,0.037941707774305784
0.8,d3pm_strong,0.8750443781161014,0.035603320952323304
0.8,iqp_parity,0.9760756027361357,
1.0,d3pm_base,0.8506661332804715,0.05354236039138572
1.0,d3pm_strong,0.8406881599810486,0.04268430032977709
1.0,iqp_parity,0.8854285165161606,
1.2,d3pm_base,0.7638529004935674,0.07034764514036852
1.2,d3pm_strong,0.7307809008535613,0.04575105917554108
1.2,iqp_parity,0.8833617242704721,
