model_key,model_label,n,beta,seed,train_m,holdout_k,holdout_protocol,holdout_pool,holdout_m,timesteps,steps,TV_score,BSHS,Composite,q_holdout,R_Q1000,R_Q10000,q_eval,eval_samples
d3pm_standard,D3PM (MLP),12,0.8,101,200,20,global_smart,400,5000,32,900,0.26839741878481166,0.5273461693331822,0.3858078186780979,0.017910000000000002,0.46136561381954627,0.9279473136218981,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,102,200,20,global_smart,400,5000,32,900,0.25864631999033,0.4831246931599927,0.3581662691777032,0.026029999999999994,0.39009327510246977,0.8157137908500236,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,103,200,20,global_smart,400,5000,32,900,0.26524631999033,0.5415410189157461,0.3978992565245308,0.024810000000000002,0.4628438314925935,0.8944912051856994,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,104,200,20,global_smart,400,5000,32,900,0.25476131999033,0.5541104199994787,0.41294451798001536,0.01972,0.4782802546024225,0.925120441722161,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,105,200,20,global_smart,400,5000,32,900,0.25588631999033,0.5219468018419267,0.388387755487874,0.02544,0.5220042277024548,0.9082750631481333,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,106,200,20,global_smart,400,5000,32,900,0.26928241878481163,0.42544906188391074,0.31088310943008224,0.018559999999999997,0.3871574975891103,0.8283360073624249,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,107,200,20,global_smart,400,5000,32,900,0.25782131999033,0.5228647435036886,0.3880590651571623,0.020390000000000002,0.44940470397501403,0.8452051213737782,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,108,200,20,global_smart,400,5000,32,900,0.2664924187848116,0.46738267453893156,0.34282873510293727,0.015990000000000004,0.34692331907216145,0.8483752383410529,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,109,200,20,global_smart,400,5000,32,900,0.25390131999033,0.5280563649018472,0.3939821568239728,0.02904,0.45420551199240744,0.8671907094536822,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,110,200,20,global_smart,400,5000,32,900,0.25378741878481165,0.5441732158181879,0.4060689000038597,0.02234,0.4451767368942117,0.896157222439299,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,111,200,20,global_smart,400,5000,32,900,0.26131631999033,0.5433187025596109,0.40134065862481266,0.02141,0.4225764640215354,0.889053850793039,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,112,200,20,global_smart,400,5000,32,900,0.2693774187848116,0.5104545296060631,0.37294960601376664,0.01992,0.39739366182885055,0.8546665731020251,1000,100000
