model_key,model_label,n,beta,seed,train_m,holdout_k,timesteps,steps,TV_score,BSHS,Composite,q_holdout,R_Q1000,R_Q10000,q_eval,eval_samples
d3pm_standard,D3PM (MLP),12,0.9,101,200,20,24,250,0.26050797552468524,0.5872601450370567,0.43427419354712,0.0013499999999999996,0.06230527806421547,0.3644743875796941,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,102,200,20,24,250,0.2655496421913519,0.5990229053159442,0.4399525871448711,0.0034499999999999995,0.13183084062404643,0.4669912343957548,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,103,200,20,24,250,0.26308297552468524,0.5972148417609813,0.4400977841629982,0.0025333333333333328,0.07431692580848086,0.2519646337840288,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,104,200,20,24,250,0.2838329755246852,0.6084473670725027,0.43574994042615384,0.0038666666666666667,0.12629772160290634,0.4807851380552351,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,105,200,20,24,250,0.2639413088580186,0.6103514828712381,0.449254513618771,0.004066666666666667,0.160908115998949,0.5501633147735745,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,106,200,20,24,250,0.2789253153585225,0.5692319621172953,0.4104587575715782,0.0021666666666666666,0.09872753669356268,0.525357175596621,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,107,200,20,24,250,0.27945831980958424,0.5940813053201034,0.4280603419050627,0.00195,0.07563923033064904,0.2927405357935591,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,108,200,20,24,250,0.26739964219135187,0.6296963903933003,0.461315800912946,0.005549999999999999,0.15841549977723696,0.433044282667456,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,109,200,20,24,250,0.27120797552468523,0.5841709962971721,0.42573916303117765,0.00325,0.1279773209360034,0.5079871093881676,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,110,200,20,24,250,0.25499165314291755,0.5698854223865063,0.42456939643012126,0.004633333333333333,0.15291295458254733,0.4574005288561704,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,111,200,20,24,250,0.26915831980958427,0.6145864280796038,0.44916537771992376,0.0029666666666666665,0.09870108639253583,0.3114969397747158,1000,60000
d3pm_standard,D3PM (MLP),12,0.9,112,200,20,24,250,0.2518583198095843,0.6108669385321712,0.457015017766234,0.001733333333333333,0.0794320883878421,0.43494370294874035,1000,60000
