sigma,K,qH,qH_ratio,Q80
0.5,128,0.04262181759468564,3.637061768079841,660.0
0.5,256,0.03530599511201426,3.0127782495585502,1289.0
0.5,512,0.020714448813941577,1.7676329654563478,2298.0
1.0,128,0.09280435070887423,7.919304593823934,310.0
1.0,256,0.10026742962166238,8.556153994381857,312.0
1.0,512,0.10875049390997502,9.280042146984535,431.0
2.0,128,0.11093550554699977,9.46649647334398,283.0
2.0,256,0.12359804358953115,10.547033052973324,306.0
2.0,512,0.11880900669064863,10.13836857093535,318.0
3.0,128,0.12241248677607805,10.445865538225327,277.0
3.0,256,0.10044689271536651,8.571468178377943,289.0
3.0,512,0.1133257144575898,9.670460967047662,282.0
