beta,n,seed,model_key,eval_mode,q_holdout,R_Q10000,holdout_size,shots_budget,iqp_steps,sigma,K,source_note
0.8,12,42,classical_nnn_fields_parity,exact,0.029082193016005092,0.9995453386931079,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,42,classical_dense_fields_xent,exact,0.024146071684114954,0.9996052192692619,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,42,classical_transformer_mle,exact,0.01065365052561222,0.6736501402795473,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,42,classical_maxent_parity,exact,0.015330439785786857,0.9008073792529908,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,43,classical_nnn_fields_parity,exact,0.03963346294710684,0.9997795956500374,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,43,classical_dense_fields_xent,exact,0.026630616664587443,0.9994791962401826,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,43,classical_transformer_mle,exact,0.023199907510688067,0.5993454857642149,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,43,classical_maxent_parity,exact,0.011906066486605102,0.8772702278818254,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,44,classical_nnn_fields_parity,exact,0.02985615170227638,0.9971250684964387,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,44,classical_dense_fields_xent,exact,0.028297541687437575,0.9995955623844963,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,44,classical_transformer_mle,exact,0.008127116138974814,0.516196858487103,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,44,classical_maxent_parity,exact,0.009788761710321973,0.8914259242688443,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,45,classical_nnn_fields_parity,exact,0.03144839680887287,0.9997595787838358,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,45,classical_dense_fields_xent,exact,0.024626593318715913,0.9988653339456552,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,45,classical_transformer_mle,exact,0.003940297553798451,0.5594074272478787,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,45,classical_maxent_parity,exact,0.012304671344187567,0.9000833340355087,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,46,classical_nnn_fields_parity,exact,0.036613675748878624,0.999977265836991,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,46,classical_dense_fields_xent,exact,0.027250825264719947,0.9986717240082932,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,46,classical_transformer_mle,exact,0.015876696579130507,0.8340221550470762,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,12,46,classical_maxent_parity,exact,0.01472318838367854,0.9277257326911744,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,42,classical_nnn_fields_parity,exact,0.025705563484371054,0.9988844008772524,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,42,classical_dense_fields_xent,exact,0.01848925818463832,0.9995393869380438,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,42,classical_transformer_mle,exact,0.00767996579696792,0.7045684821994516,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,42,classical_maxent_parity,exact,0.010438544184149556,0.9049953062630658,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,43,classical_nnn_fields_parity,exact,0.02795846738998703,0.9930487839829147,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,43,classical_dense_fields_xent,exact,0.02619092402033696,0.9987262130758102,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,43,classical_transformer_mle,exact,0.014342790752166344,0.6879335193965793,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,43,classical_maxent_parity,exact,0.010951054533440172,0.9259916860665784,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,44,classical_nnn_fields_parity,exact,0.023381146423707692,0.9970896932118454,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,44,classical_dense_fields_xent,exact,0.02835299678718148,0.998396635804931,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,44,classical_transformer_mle,exact,0.022885650515355047,0.6823889614385372,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,44,classical_maxent_parity,exact,0.017842772742050022,0.908329036324391,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,45,classical_nnn_fields_parity,exact,0.022050882397963496,0.9922878906012629,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,45,classical_dense_fields_xent,exact,0.019860506703164995,0.976205025363105,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,45,classical_transformer_mle,exact,0.008365037251561486,0.7503370469727584,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,45,classical_maxent_parity,exact,0.007558459965581074,0.8112350225764509,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,46,classical_nnn_fields_parity,exact,0.03487942616543984,0.9995515661346275,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,46,classical_dense_fields_xent,exact,0.027384618922010634,0.9983770288155757,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,46,classical_transformer_mle,exact,0.003859576577389464,0.5483349462945555,20,0,300,1.0,512,trained_real_classical_all_baselines
0.8,14,46,classical_maxent_parity,exact,0.014085346285825988,0.9240040563873733,20,0,300,1.0,512,trained_real_classical_all_baselines
