n,beta,score_level_raw,score_level_display,target_mass
12,0.1,1,0,0.013974134041217879
12,0.1,2,1,0.18699527927959256
12,0.1,3,2,0.33259624501805707
12,0.1,4,3,0.23451431460382088
12,0.1,5,4,0.12451831843987278
12,0.1,6,5,0.05977803770820492
12,0.1,7,6,0.027527062006140638
12,0.1,8,7,0.012168843355700691
12,0.1,9,8,0.0050432444187519295
12,0.1,10,9,0.001857882354783985
12,0.1,11,10,0.0010266387738565813
12,0.2,1,0,0.010578492848099134
12,0.2,2,1,0.15644402576072894
12,0.2,3,2,0.3075212492167032
12,0.2,4,3,0.2396385005736829
12,0.2,5,4,0.14062091902003498
12,0.2,6,5,0.07460841050327834
12,0.2,7,6,0.0379695493211043
12,0.2,8,7,0.01855044490675816
12,0.2,9,8,0.00849658671532976
12,0.2,10,9,0.0034592514830169415
12,0.2,11,10,0.0021125696512632754
12,0.3,1,0,0.007806700197827788
12,0.3,2,1,0.12759455332497674
12,0.3,3,2,0.277190110238405
12,0.3,4,3,0.23871991036339268
12,0.3,5,4,0.15481442685665062
12,0.3,6,5,0.09077760765927129
12,0.3,7,6,0.05105706384564425
12,0.3,8,7,0.02756793092840528
12,0.3,9,8,0.013954805388883034
12,0.3,10,9,0.00627900565406428
12,0.3,11,10,0.004237885542479095
12,0.4,1,0,0.005588949095565584
12,0.4,2,1,0.10095416399977857
12,0.4,3,2,0.24238139475021087
12,0.4,4,3,0.23069577452297796
12,0.4,5,4,0.16534530771857422
12,0.4,6,5,0.10714912450041551
12,0.4,7,6,0.066603212608483
12,0.4,8,7,0.03974412700463495
12,0.4,9,8,0.022234226344389665
12,0.4,10,9,0.011056522664502227
12,0.4,11,10,0.008247196790467445
12,0.5,1,0,0.0038586317675441614
12,0.5,2,1,0.07702946230771034
12,0.5,3,2,0.20439080682286764
12,0.5,4,3,0.21499638910185082
12,0.5,5,4,0.1702992945298769
12,0.5,6,5,0.12196607534188621
12,0.5,7,6,0.0837866927999926
12,0.5,8,7,0.05525636104838603
12,0.5,9,8,0.03416337667573503
12,0.5,10,9,0.018775295268074994
12,0.5,11,10,0.015477614336075352
12,0.6,1,0,0.0025516362054394657
12,0.6,2,1,0.05629524776098328
12,0.6,3,2,0.16508426280854244
12,0.6,4,3,0.19191323703126834
12,0.6,5,4,0.16800262284717976
12,0.6,6,5,0.13297552402740803
12,0.6,7,6,0.10095716763421675
12,0.6,8,7,0.07358238127219298
12,0.6,9,8,0.05027844011008699
12,0.6,10,9,0.030537763659632598
12,0.6,11,10,0.027821716643049305
12,0.7,1,0,0.0016047066296578023
12,0.7,2,1,0.03912713728204899
12,0.7,3,2,0.12680648436939682
12,0.7,4,3,0.1629184113216301
12,0.7,5,4,0.15761979045424884
