sigma,K,n_seeds,min,q1,median,mean,std,ci95,q3,max,delta_mean,delta_median,delta_ci95,delta_std,parity_seed_wins_vs_mse,mse_seed_wins_vs_parity,ties,delta_q1,delta_q3
0.5,128,10,0.4900075261034932,0.5456434995564028,0.634111764884878,0.6359878995059906,0.1065338203876222,0.07620440948375487,0.7047448354751666,0.7934265277684673,0.15434130182357178,0.15485676729402867,0.048735550568108486,0.0681323354631016,0,10,0,0.10404491635697576,0.20183015186529826
0.5,256,10,0.4502506705043846,0.5053296662380176,0.5411228252562198,0.5493980722157202,0.06525078462879604,0.04667435648977061,0.5979543526735759,0.6578112969235167,0.06775147453330148,0.0705452816121846,0.06334528385154367,0.08855675331598645,1,9,0,0.03399973683006785,0.10043110548153147
0.5,512,10,0.4181219588356595,0.4650047510327515,0.49630280580266034,0.4999327850130669,0.057540067981065576,0.041158825302595355,0.5067996286107326,0.6018730485404904,0.01828618733064814,0.04326976329607432,0.0528886460680091,0.07393836602007843,4,6,0,-0.03560820096642295,0.06772800935023496
1.0,128,10,0.44242304536741023,0.5410263024135531,0.583831392949296,0.5712387634796166,0.0682452145300758,0.048816293778204095,0.601816587151745,0.6795640702570247,0.0895921657971978,0.07789841945190829,0.06754145042790559,0.09442299726946768,3,7,0,0.009093359926471742,0.15503374459002184
1.0,256,10,0.33815127961369407,0.44632273377653275,0.4898770620431804,0.4786921854122867,0.06703706048936721,0.04795209248604516,0.5358116238084366,0.547999416666294,-0.0029544122701320842,-0.03014944442427206,0.06868185811816402,0.09601728805743781,7,3,0,-0.0684762825157317,0.05341366154522062
1.0,512,10,0.38189240997465035,0.41660238852373327,0.44687230914796633,0.4515499628932399,0.044624090290098437,0.03191993337828153,0.49090702705494005,0.5162541471641444,-0.030096634789178837,-0.017115425906280568,0.06535673680445539,0.09136876602043935,6,4,0,-0.11891629209693413,0.044721051944913576
2.0,128,10,0.3795164255963031,0.48437639371886887,0.5720626467518675,0.5929446959104462,0.20701316040966963,0.1480780055290083,0.602125403469639,1.1258373755453805,0.11129809822802743,0.06468124786649798,0.15024005503121093,0.2100357072005598,3,7,0,-0.0010244344911191916,0.19204495647698983
2.0,256,10,0.36852087372006037,0.4410402300898373,0.5948175595790622,0.6154080790454933,0.20967960006705974,0.14998532903225034,0.7773292960132019,0.9723537527069562,0.13376148136307453,0.2117638509086884,0.14928261944150378,0.2086972115434506,4,6,0,-0.04329079229929743,0.2727073203544594
2.0,512,10,0.3351818838430996,0.45684006697834384,0.5457196866629279,0.576663447281087,0.1881477417908631,0.13458343563299602,0.716606961165903,0.8944244384873784,0.09501684959866818,-0.0001728033071998758,0.17230931230066196,0.24088854506072496,5,5,0,-0.03984055669666464,0.2549963576004729
3.0,128,10,0.45837354589607204,0.5248008876925443,0.638881977594616,0.7028984261653421,0.23583458739526184,0.1686941799600474,0.7978297213018821,1.1494227998511006,0.22125182848292332,0.1712491655642141,0.17672353272099628,0.24705962844811766,1,9,0,0.023811468783900253,0.28671147585726664
3.0,256,10,0.40299742040086983,0.4958109707011217,0.5728053349311414,0.565221400386978,0.10914129970892224,0.07806955823368046,0.5861863290443532,0.7808437525488472,0.08357480270455933,0.10960112577489978,0.09646545084898002,0.13485877108656072,2,8,0,0.02806742285584035,0.17844565785862782
3.0,512,10,0.38004482671487433,0.4492169422255526,0.4810173901394805,0.5069786207968605,0.10548593218821548,0.07545484750287182,0.5222270528194143,0.7382066677769162,0.025332023114441764,0.03153947799696874,0.059698156269971256,0.08345806628018168,4,6,0,-0.005611264005435948,0.07436158299534144
