seed,curve_key,Q,R_Q,n_aggregated_seeds
111,target,0,0.0,1
111,uniform,0,0.0,1
111,spectral,0,0.0,1
111,parity_sim,0,0.0,1
111,parity_hw,0,0.0,1
111,mse_sim,0,0.0,1
111,mse_hw,0,0.0,1
111,target,1,0.001489627187774752,1
111,uniform,1,0.000244140625,1
111,spectral,1,0.0007371020793509606,1
111,parity_sim,1,0.001560804134119843,1
111,parity_hw,1,0.0009155555555555452,1
111,mse_sim,1,0.001663882338009671,1
111,mse_hw,1,0.0008451851851851719,1
111,target,2,0.0029757245221096813,1
111,uniform,2,0.0004882216453552246,1
111,spectral,2,0.0014734518593924042,1
111,parity_sim,2,0.003113553966982803,1
111,parity_hw,2,0.0018289004444444154,1
111,mse_sim,2,0.003319618224066215,1
111,mse_hw,2,0.0016888428888888526,1
111,target,3,0.004458305510184091,1
111,uniform,3,0.0007322430756175891,1
111,spectral,3,0.0022090502472105825,1
111,parity_sim,3,0.004658324667147396,1
111,parity_hw,3,0.0027400441301777515,1
111,mse_sim,3,0.004967279796679216,1
111,mse_hw,3,0.0025309776521407028,1
111,target,4,0.005937383585147632,1
111,uniform,4,0.0009762049303354559,1
111,spectral,4,0.0029438981486617933,1
111,parity_sim,4,0.006195190479682334,1
111,parity_hw,4,0.003648996022162693,1
111,mse_sim,4,0.006606938381156248,1
111,mse_hw,4,0.003371593998402409,1
111,target,5,0.0074129721066157755,1
111,uniform,5,0.0012201072240536348,1
111,spectral,5,0.003677996468374132,1
111,parity_sim,5,0.00772422473907365,1
111,parity_hw,5,0.004555765476052777,1
111,mse_sim,5,0.008238664499696558,1
111,mse_hw,5,0.0042106964336449315,1
111,target,6,0.008885084361161043,1
111,uniform,6,0.001463949971313383,1
111,spectral,6,0.004411346109749406,1
111,parity_sim,6,0.009245499881938884,1
111,parity_hw,6,0.005460361794095902,1
111,mse_sim,6,0.009862527881353571,1
111,mse_hw,6,0.005048289446425412,1
111,target,7,0.01035373356280136,1
111,uniform,7,0.0017077331866524048,1
111,spectral,7,0.005143947974964876,1
111,parity_sim,7,0.010759087459551182,1
111,parity_hw,7,0.00636279422547993,1
111,mse_sim,7,0.011478597471867795,1
111,mse_hw,7,0.005884377507963635,1
111,target,8,0.011818932853484058,1
111,uniform,8,0.001951456884604852,1
111,spectral,8,0.0058758029649751,1
111,parity_sim,8,0.012265058150176544,1
111,parity_hw,8,0.007263071966675692,1
111,mse_sim,8,0.013086941443372052,1
111,mse_hw,8,0.006718965072218019,1
111,target,9,0.013280695303567016,1
111,uniform,9,0.0021951210797014342,1
111,spectral,9,0.006606911979513712,1
111,parity_sim,9,0.013763481771226691,1
111,parity_hw,9,0.008161204161778195,1
111,mse_sim,9,0.014687627203970603,1
111,mse_hw,9,0.007552056575961611,1
111,target,10,0.014739033912295623,1
111,uniform,10,0.002438725786469087,1
111,spectral,10,0.007337275917095313,1
111,parity_sim,10,0.01525442729123093,1
111,parity_hw,10,0.009057199902844837,1
111,mse_sim,10,0.016280721407193856,1
111,mse_hw,10,0.008383656438857273,1
111,target,11,0.016193961608277102,1
111,uniform,11,0.0026822710194314148,1
111,spectral,11,0.008066895675017158,1
111,parity_sim,11,0.016737962841629275,1
111,parity_hw,11,0.00995106823023197,1
111,mse_sim,11,0.017866289961330432,1
111,mse_hw,11,0.009213769063533023,1
111,target,12,0.017645491249950292,1
111,uniform,12,0.0029257567931082473,1
111,spectral,12,0.00879577214936106,1
111,parity_sim,12,0.018214155728390236,1
111,parity_hw,12,0.010842818132928558,1
111,mse_sim,12,0.01944439803863809,1
111,mse_hw,12,0.010042398835656434,1
111,target,13,0.019093635626052898,1
111,uniform,13,0.003169183122016195,1
111,spectral,13,0.009523906234995121,1
111,parity_sim,13,0.019683072443455248,1
111,parity_hw,13,0.011732458548888132,1
111,mse_sim,13,0.02101511008443519,1
111,mse_hw,13,0.010869550124009269,1
111,target,14,0.02053840745608475,1
111,uniform,14,0.0034125500206680925,1
111,spectral,14,0.010251298825575529,1
111,parity_sim,14,0.021144778676013172,1
111,parity_hw,14,0.012619998365357956,1
111,mse_sim,14,0.022578489826074355,1
111,mse_hw,14,0.011695227280561302,1
111,target,15,0.02197981939076827,1
111,uniform,15,0.0036558575035731122,1
111,spectral,15,0.010977950813548434,1
111,parity_sim,15,0.02259933932360689,1
111,parity_hw,15,0.013505446419206365,1
111,mse_sim,15,0.024134600281799777,1
111,mse_hw,15,0.01251943464054413,1
111,target,17,0.02485261383582781,1
111,uniform,17,0.004142294280162773,1
111,spectral,17,0.01242903654541646,1
111,parity_sim,17,0.025487279561331167,1
111,parity_hw,17,0.015270102336564857,1
111,mse_sim,17,0.027225261915286018,1
111,mse_hw,17,0.014163457228476766,1
111,target,18,0.026284021307853987,1
111,uniform,18,0.004385423602848326,1
111,spectral,18,0.013153472068169405,1
111,parity_sim,18,0.026920785085982894,1
111,parity_hw,18,0.01614932762483018,1
111,mse_sim,18,0.028759935662111564,1
111,mse_hw,18,0.014983281043856728,1
111,target,19,0.027712118808728554,1
111,uniform,19,0.004628493567789049,1
111,spectral,19,0.013877170546034129,1
111,parity_sim,19,0.028347396915793695,1
111,parity_hw,19,0.017026496000623413,1
111,mse_sim,19,0.030287585278077876,1
111,mse_hw,19,0.015801652237672704,1
111,target,20,0.029136918652070038,1
111,uniform,20,0.004871504189476572,1
111,spectral,20,0.01460013286543302,1
111,parity_sim,20,0.02976717615098941,1
111,parity_hw,20,0.01790161605374817,1
111,mse_sim,20,0.03180827036478371,1
111,mse_hw,20,0.01661857506255803,1
111,target,21,0.030558433085409824,1
111,uniform,21,0.005114455482399083,1
111,spectral,21,0.01532235991158912,1
111,parity_sim,21,0.031180183163412385,1
111,parity_hw,21,0.018774696325545924,1
111,mse_sim,21,0.03332204986550652,1
111,mse_hw,21,0.017434053754842787,1
111,target,23,0.03339165438439445,1
111,uniform,23,0.005600180139883615,1
111,spectral,23,0.016764611719078722,1
111,parity_sim,23,0.03398611842526557,1
111,parity_hw,23,0.020514771450084273,1
111,mse_sim,23,0.03632912463891472,1
111,mse_hw,23,0.01906069560584091,1
111,target,25,0.036211879380724156,1
111,uniform,25,0.006085667656076654,1
111,spectral,25,0.018203933026366487,1
111,parity_sim,25,0.03676567148487827,1
111,parity_hw,25,0.022246788747525274,1
111,mse_sim,25,0.03930926828274436,1
111,mse_hw,25,0.020681611357939864,1
111,target,27,0.039019203719691656,1
111,uniform,27,0.0065709181467557,1
111,spectral,27,0.019640330872238782,1
111,parity_sim,27,0.039519300096682725,1
111,parity_hw,27,0.023970814835503052,1
111,mse_sim,27,0.04226292945502701,1
111,mse_hw,27,0.022296834322086255,1
111,target,29,0.041813722030375054,1
111,uniform,29,0.007055931727641851,1
111,spectral,29,0.02107381227646118,1
111,parity_sim,29,0.042247451285437485,1
111,parity_hw,29,0.025686915585678014,1
111,mse_sim,29,0.045190547031450694,1
111,mse_hw,29,0.023906397555134316,1
111,target,31,0.04459552793897273,1
111,uniform,31,0.0075407085143994745,1
111,spectral,31,0.022504384239834526,1
111,parity_sim,31,0.04495056163688285,1
111,parity_hw,31,0.027395156133285366,1
111,mse_sim,31,0.04809255034317428,1
111,mse_hw,31,0.025510333862059104,1
111,target,34,0.04874460342278204,1
111,uniform,34,0.008267429958422124,1
111,spectral,34,0.024644802251035058,1
111,parity_sim,34,0.04895920569758216,1
111,parity_hw,34,0.029942919771380222,1
111,mse_sim,34,0.05239844486381527,1
111,mse_hw,34,0.0279057589829191,1
111,target,36,0.051495031477473224,1
111,uniform,36,0.008751615265520263,1
