seed,model_key,model_label,backend_name,job_id,shots,transpiled_depth,transpiled_size,two_qubit_ops,quantum_seconds
111,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7ri30g7hs73dp7tig,10000,250,476,111,5.0
111,iqp_mse,IQP MSE,ibm_marrakesh,d7b7rv15a5qc73dn4r2g,10000,262,455,108,5.0
112,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7s265nvhs73a305qg,10000,250,452,105,4.0
112,iqp_mse,IQP MSE,ibm_marrakesh,d7b7s465nvhs73a305tg,10000,256,460,105,4.0
113,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7s7m5nvhs73a30610,10000,255,462,105,5.0
113,iqp_mse,IQP MSE,ibm_marrakesh,d7b7se95a5qc73dn4rj0,10000,255,462,105,4.0
114,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7sgh5a5qc73dn4rl0,10000,262,454,102,4.0
114,iqp_mse,IQP MSE,ibm_marrakesh,d7b7si95a5qc73dn4rng,10000,262,429,102,4.0
115,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7skjklj2c73eut9t0,10000,262,448,102,4.0
115,iqp_mse,IQP MSE,ibm_marrakesh,d7b7smu5nvhs73a306jg,10000,252,456,105,5.0
116,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7sse5nvhs73a306s0,10000,256,488,117,4.0
116,iqp_mse,IQP MSE,ibm_marrakesh,d7b7sujklj2c73euta80,10000,261,469,111,4.0
117,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7t0u5nvhs73a3071g,10000,255,462,105,4.0
117,iqp_mse,IQP MSE,ibm_marrakesh,d7b7t2rklj2c73eutaeg,10000,250,393,90,4.0
118,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7t515a5qc73dn4sf0,10000,275,461,108,7.0
118,iqp_mse,IQP MSE,ibm_marrakesh,d7b7t9rklj2c73eutaog,10000,256,469,105,4.0
119,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7tc30g7hs73dp7vk0,10000,268,420,99,4.0
119,iqp_mse,IQP MSE,ibm_marrakesh,d7b7te65nvhs73a307j0,10000,250,456,108,4.0
120,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,d7b7tg65nvhs73a307lg,10000,255,463,108,4.0
120,iqp_mse,IQP MSE,ibm_marrakesh,d7b7tih5a5qc73dn4su0,10000,256,460,108,7.0
