seed,model_key,model_label,backend_name,account_name_used,job_id,beta,n,train_m,layers,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,shots,exact_kl,hardware_kl,kl_delta_hardware_minus_exact,transpiled_depth,transpiled_size,two_qubit_ops,exact_coverage_Q1000,hardware_coverage_Q1000,coverage_delta_Q1000,exact_coverage_Q2000,hardware_coverage_Q2000,coverage_delta_Q2000,exact_coverage_Q5000,hardware_coverage_Q5000,coverage_delta_Q5000
111,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7ri30g7hs73dp7tig,0.9,12,200,1,2.0,512,0.1,204,135,129,10000,0.42945787096981985,2.894591926125413,2.465134055155593,250,476,111,0.07468385492623258,0.05845705057282008,-0.016226804353412505,0.04685219845036186,0.04125387657966163,-0.005598321870700224,0.022621506537260604,0.02162675063714012,-0.000994755900120485
111,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7rv15a5qc73dn4r2g,0.9,12,200,1,nan,-1,0.1,204,135,129,10000,0.4721735121018632,4.215676474496162,3.7435029623942984,262,455,108,0.0778950775549819,0.046570623139618746,-0.031324454415363155,0.049153563813304574,0.033641144191964525,-0.015512419621340048,0.023613388169011165,0.0188772128345945,-0.004736175334416667
112,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7s265nvhs73a305qg,0.9,12,200,1,1.0,512,0.1,204,132,118,10000,0.40839129050969836,3.181462865932081,2.7730715754223825,250,452,105,0.07057713551619546,0.054589836584756864,-0.015987298931438597,0.04452969111677666,0.038002685250592305,-0.006527005866184356,0.021839769012449356,0.020289991782214516,-0.0015497772302348403
112,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7s465nvhs73a305tg,0.9,12,200,1,nan,-1,0.1,204,132,118,10000,0.4337935129520417,2.8587155002279627,2.424921987275921,256,460,105,0.06828203587662557,0.058068248831849,-0.010213787044776566,0.044028712634606774,0.03942602372867341,-0.004602688905933364,0.021933404862186246,0.020555169198989375,-0.001378235663196871
113,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7s7m5nvhs73a30610,0.9,12,200,1,2.0,512,0.1,204,147,116,10000,0.33518188384309994,2.2900670692749765,1.9548851854318765,255,462,105,0.08771319961056423,0.07515544579769969,-0.012557753812864544,0.05549012107514291,0.050091812106188724,-0.005398308968954185,0.02643367738518159,0.025091490626381257,-0.0013421867588003338
113,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7se95a5qc73dn4rj0,0.9,12,200,1,nan,-1,0.1,204,147,116,10000,0.4490399685074582,2.733108311400299,2.2840683428928408,255,462,105,0.07856348913634925,0.0713319841252623,-0.00723150501108695,0.050421671233521294,0.047389247591305986,-0.003032423642215308,0.024935781318118383,0.023866389256152608,-0.0010693920619657751
114,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7sgh5a5qc73dn4rl0,0.9,12,200,1,0.5,512,0.1,204,135,124,10000,0.4181219588356595,2.9910139540542042,2.5728919952185447,262,454,102,0.0728679414602942,0.06284454834254634,-0.010023393117747859,0.04658739089617907,0.042099960653888775,-0.004487430242290293,0.022910256090366597,0.021372264642695323,-0.001537991447671274
114,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7si95a5qc73dn4rng,0.9,12,200,1,nan,-1,0.1,204,135,124,10000,0.36086275065368534,2.4893808069259276,2.128518056272242,262,429,102,0.07370439128777795,0.06301152072587334,-0.010692870561904613,0.04757176697197506,0.043808584601816206,-0.003763182370158852,0.02334036703946731,0.022596057656153665,-0.0007443093833136433
115,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7skjklj2c73eut9t0,0.9,12,200,1,2.0,256,0.1,204,140,118,10000,0.3873929362781154,2.705172279136658,2.3177793428585427,262,448,102,0.08089808534900854,0.06928420863438978,-0.011613876714618762,0.05089258810542435,0.04589210106506893,-0.005000487040355425,0.024752005599651336,0.022975005066260514,-0.001777000533390822
115,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7smu5nvhs73a306jg,0.9,12,200,1,nan,-1,0.1,204,140,118,10000,0.5919979842163346,2.684179850322139,2.092181866105804,252,456,105,0.06835080676485746,0.06272937813693688,-0.005621428627920574,0.04320577908291001,0.04187291285474242,-0.001332866228167591,0.02141400606592783,0.021716310886848493,0.00030230482092066455
