family,seed,sigma,K,KL_pstar_to_q
iqp_parity,42,0.5,128,0.5340555804348629
iqp_parity,42,0.5,256,0.5396692573302471
iqp_parity,42,0.5,512,0.4584038396512246
iqp_parity,42,1.0,128,0.5496956597563394
iqp_parity,42,1.0,256,0.5371666552199134
iqp_parity,42,1.0,512,0.4662213683307421
iqp_parity,42,2.0,128,0.5047489915004285
iqp_parity,42,2.0,256,0.659053126700566
iqp_parity,42,2.0,512,0.3600354080174295
iqp_parity,42,3.0,128,0.6390656382617398
iqp_parity,42,3.0,256,0.58287048984288
iqp_parity,42,3.0,512,0.40454562187810916
iqp_mse,42,,,0.5386346833059161
iqp_parity,43,0.5,128,0.6284162503385111
iqp_parity,43,0.5,256,0.6847778429441935
iqp_parity,43,0.5,512,0.4717925378393957
iqp_parity,43,1.0,128,0.4805083487108688
iqp_parity,43,1.0,256,0.5257462518944404
iqp_parity,43,1.0,512,0.5437843619389786
iqp_parity,43,2.0,128,0.8866075893392114
iqp_parity,43,2.0,256,0.5831112202039161
iqp_parity,43,2.0,512,0.5216587720590888
iqp_parity,43,3.0,128,0.5196047910866824
iqp_parity,43,3.0,256,0.5563773496915745
iqp_parity,43,3.0,512,0.48484910080453675
iqp_mse,43,,,0.45865242746847085
iqp_parity,44,0.5,128,1.2051710400004767
iqp_parity,44,0.5,256,0.5738552306825611
iqp_parity,44,0.5,512,0.5161627633169831
iqp_parity,44,1.0,128,0.7298476494415319
iqp_parity,44,1.0,256,0.5465663349477418
iqp_parity,44,1.0,512,0.47821425851117183
iqp_parity,44,2.0,128,0.3949295144267849
iqp_parity,44,2.0,256,0.4626323878681837
iqp_parity,44,2.0,512,0.526912718059938
iqp_parity,44,3.0,128,0.8263689973682917
iqp_parity,44,3.0,256,0.7831131712268657
iqp_parity,44,3.0,512,0.5266603044575249
iqp_mse,44,,,0.42225730760388286
iqp_parity,45,0.5,128,0.9066246093246184
iqp_parity,45,0.5,256,0.6472424719872971
iqp_parity,45,0.5,512,0.6093357815281266
iqp_parity,45,1.0,128,0.7194868577222522
iqp_parity,45,1.0,256,0.6183810239598349
iqp_parity,45,1.0,512,0.5388766998901475
iqp_parity,45,2.0,128,1.1341524751869287
iqp_parity,45,2.0,256,0.6499529715140414
iqp_parity,45,2.0,512,0.4804536756004635
iqp_parity,45,3.0,128,0.8751174361527396
iqp_parity,45,3.0,256,0.5130947441958146
iqp_parity,45,3.0,512,0.45910614893920815
iqp_mse,45,,,0.497377472489332
iqp_parity,46,0.5,128,0.9574398986767235
iqp_parity,46,0.5,256,0.7217427809974708
iqp_parity,46,0.5,512,0.8023710667125741
iqp_parity,46,1.0,128,0.8028501842026947
iqp_parity,46,1.0,256,0.5652810714989511
iqp_parity,46,1.0,512,0.5313929449944151
iqp_parity,46,2.0,128,0.7245472561588815
iqp_parity,46,2.0,256,0.5761060634767081
iqp_parity,46,2.0,512,0.5752063738914528
iqp_parity,46,3.0,128,0.770650997746966
iqp_parity,46,3.0,256,0.6743316851352983
iqp_parity,46,3.0,512,0.6460269745995422
iqp_mse,46,,,0.6326507216283792
iqp_parity,47,0.5,128,4.664837775821892
iqp_parity,47,0.5,256,0.6462662039330581
iqp_parity,47,0.5,512,0.6322951155634025
iqp_parity,47,1.0,128,0.5076601056107168
iqp_parity,47,1.0,256,0.5165773151989681
iqp_parity,47,1.0,512,0.5890489601172009
iqp_parity,47,2.0,128,0.44843887512087044
iqp_parity,47,2.0,256,0.513566492955698
iqp_parity,47,2.0,512,0.4172688165994288
iqp_parity,47,3.0,128,0.5063397576594156
iqp_parity,47,3.0,256,0.5245348962701041
iqp_parity,47,3.0,512,0.39271383356335743
iqp_mse,47,,,0.5319363886917894
iqp_parity,48,0.5,128,0.933304188463802
iqp_parity,48,0.5,256,0.4773176068898144
iqp_parity,48,0.5,512,0.5257403458969444
iqp_parity,48,1.0,128,0.6193128404834114
iqp_parity,48,1.0,256,0.44154679738904806
iqp_parity,48,1.0,512,0.5430923148711222
iqp_parity,48,2.0,128,0.8684666413198706
iqp_parity,48,2.0,256,0.5502525252021511
iqp_parity,48,2.0,512,0.39637595795902253
iqp_parity,48,3.0,128,0.6117962696588424
iqp_parity,48,3.0,256,0.5731585536273178
iqp_parity,48,3.0,512,0.4618814026093072
iqp_mse,48,,,0.40221258367436585
iqp_parity,49,0.5,128,0.7455190637671419
iqp_parity,49,0.5,256,0.5475798246106653
iqp_parity,49,0.5,512,0.4515631032030997
iqp_parity,49,1.0,128,0.9069076345486101
iqp_parity,49,1.0,256,0.44522107117925425
iqp_parity,49,1.0,512,0.46292368742005807
iqp_parity,49,2.0,128,0.6470067473566996
iqp_parity,49,2.0,256,0.5424124106812825
iqp_parity,49,2.0,512,0.5271717122710838
iqp_parity,49,3.0,128,0.5998057639121441
iqp_parity,49,3.0,256,0.6317585765797127
iqp_parity,49,3.0,512,0.41184809539532186
iqp_mse,49,,,0.388311110908745
iqp_parity,50,0.5,128,0.5677527160722483
iqp_parity,50,0.5,256,0.5354845560133524
iqp_parity,50,0.5,512,0.45189144305208007
iqp_parity,50,1.0,128,0.4531218922372767
iqp_parity,50,1.0,256,0.5075493504812252
iqp_parity,50,1.0,512,0.4896370381177315
iqp_parity,50,2.0,128,0.6417160611830721
iqp_parity,50,2.0,256,0.36462482138630986
iqp_parity,50,2.0,512,0.4159433386342497
iqp_parity,50,3.0,128,0.5501352900715125
iqp_parity,50,3.0,256,0.47387429644423795
iqp_parity,50,3.0,512,0.4035356996217493
iqp_mse,50,,,0.46074871702984577
iqp_parity,51,0.5,128,0.6294828516595776
iqp_parity,51,0.5,256,0.589463554465492
iqp_parity,51,0.5,512,0.5434524945492354
iqp_parity,51,1.0,128,0.7448589168249347
iqp_parity,51,1.0,256,0.3912939149466524
iqp_parity,51,1.0,512,0.4499791638785547
iqp_parity,51,2.0,128,0.6661490366742521
iqp_parity,51,2.0,256,0.3653673024917578
iqp_parity,51,2.0,512,0.6673027285647938
iqp_parity,51,3.0,128,0.5142939642347393
iqp_parity,51,3.0,256,0.5827896049747054
iqp_parity,51,3.0,512,0.4917526001119683
iqp_mse,51,,,0.5879407259940084
