beta,seed,model_key,model_label,n,train_m,sigma,K,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q
0.1,101,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5347478428235811
0.1,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.2836171144644717
0.1,101,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9149612628213002
0.1,101,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.3217895495398548
0.1,101,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4247684743620592
0.1,102,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5606703395635121
0.1,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.8033250473319247
0.1,102,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9521154463134409
0.1,102,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.304841602283495
0.1,102,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5256482746197695
0.1,103,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5386922356132439
0.1,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,2.608613810966946
0.1,103,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8873863340109771
0.1,103,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.3204720491894373
0.1,103,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.431806156359568
0.1,104,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5607002663963819
0.1,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.6273767365225575
0.1,104,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9038039630080005
0.1,104,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.215006905177686
0.1,104,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4998316864803514
0.1,105,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.6006059934370409
0.1,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8049422686291942
0.1,105,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8790475965130089
0.1,105,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.2078883152121556
0.1,105,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4527885567926644
0.1,106,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5462564532136948
0.1,106,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.7883928225691139
0.1,106,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9067306600940459
0.1,106,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.2240478535139405
0.1,106,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.6095304040152745
0.1,107,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5401549837590187
0.1,107,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.0342562942906839
0.1,107,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8795856306431888
0.1,107,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.3408830101904368
0.1,107,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5116153859880082
0.1,108,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.525495196897534
0.1,108,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.274981478286229
0.1,108,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8627726132855931
0.1,108,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.250433708274484
0.1,108,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.6414851386087506
0.1,109,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5262918771203122
0.1,109,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.1875130156910279
0.1,109,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9336603051839626
0.1,109,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.1197796209251236
0.1,109,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.6621045020626584
0.1,110,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.4829617702441945
0.1,110,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.9157570519795546
0.1,110,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9302100797727629
0.1,110,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.0979731001126112
0.1,110,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.405737440713768
0.2,101,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5473701336708251
0.2,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9508716863337148
0.2,101,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9202558963618659
0.2,101,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.2047935639754288
0.2,101,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4352362880936476
0.2,102,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5000432910580042
0.2,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.542470604246954
0.2,102,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9773111250975639
0.2,102,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.1997039538501988
0.2,102,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.6588435704777096
0.2,103,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5097528207139208
0.2,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5908391917500597
