beta,seed,model_key,model_label,n,train_m,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q,quality_coverage_Q1000,quality_coverage_Q2000,quality_coverage_Q5000
0.1,111,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,184,192,600,600,medium,32,4,1,64,600,600,0.5642997392807417,0.057668743049052534,0.044200435911248774,0.025971490494944977
0.1,111,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,184,192,600,600,medium,32,4,1,64,600,600,2.5038747471653005,0.02711960708546825,0.021659429596062648,0.01391056212151316
0.1,111,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,184,192,600,600,medium,32,4,1,64,600,600,0.9133204705531657,0.042617583944525576,0.03663607975602248,0.025203235729939842
0.1,111,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,184,192,600,600,medium,32,4,1,64,600,600,1.2873130095500112,0.03766683106282035,0.031169648562080453,0.02040041305527944
0.1,111,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,184,192,600,600,medium,32,4,1,64,600,600,1.503472880275551,0.033120722676516536,0.02752571063656179,0.018463868395215854
0.1,112,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,177,188,600,600,medium,32,4,1,64,600,600,0.5650955790557255,0.058955358050918207,0.04408052732111067,0.024929189613028695
0.1,112,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,177,188,600,600,medium,32,4,1,64,600,600,1.128495060785924,0.04237166976519457,0.03580269304324963,0.02397876465312746
0.1,112,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,177,188,600,600,medium,32,4,1,64,600,600,0.9397185830193218,0.040785473818305516,0.03441947979495417,0.02318984429735862
0.1,112,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,177,188,600,600,medium,32,4,1,64,600,600,1.099073222789303,0.04432934184387274,0.03597014109178237,0.022927737975740048
0.1,112,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,177,188,600,600,medium,32,4,1,64,600,600,1.7388539583292761,0.026914757331966035,0.022075036042330586,0.014818591286232941
0.1,113,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,0.5863381223204907,0.06429636519626358,0.04765850150805279,0.026566837677860614
0.1,113,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,0.9479424834176972,0.04417011460037609,0.036986496407768805,0.024424923129402344
0.1,113,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,0.9192468920844512,0.04544709568772968,0.0383391643389857,0.025556134156998655
0.1,113,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,1.094957668331147,0.042909316817579084,0.03510890712085855,0.022631860901411244
0.1,113,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,1.7262299195832829,0.03129598364993026,0.025284571758470528,0.016861862931675523
