beta,seed,model_key,model_label,n,train_m,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q,quality_coverage_Q1000,quality_coverage_Q2000,quality_coverage_Q5000
0.1,101,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,0.5347478428235811,0.06747942706159911,0.05024832157522143,0.028210986746370553
0.1,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,1.2836171144644717,0.04673820945208536,0.03792357880565757,0.023525395885783732
0.1,101,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,0.9149612628213002,0.03958927680049461,0.03403342341786331,0.023502506590045838
0.1,101,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,1.3217895495398548,0.027377678102715602,0.023715947491389132,0.016949702254211163
0.1,101,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,1.4247684743620592,0.03718729107625724,0.030094712845497775,0.019626026757975482
0.1,102,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,180,192,600,600,medium,32,4,1,64,600,600,0.5606703395635121,0.06525067012194208,0.0484531696492061,0.027013960598694518
0.1,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,180,192,600,600,medium,32,4,1,64,600,600,1.8033250473319247,0.03722782724647254,0.030468027103608665,0.019380886728332086
0.1,102,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,180,192,600,600,medium,32,4,1,64,600,600,0.9521154463134409,0.034831749143844126,0.029985150194648952,0.02112655045291291
0.1,102,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,180,192,600,600,medium,32,4,1,64,600,600,1.304841602283495,0.034354706888721755,0.028060564180258686,0.018394728674486695
0.1,102,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,180,192,600,600,medium,32,4,1,64,600,600,1.5256482746197695,0.030106197235718186,0.024982674423160937,0.016807689310043714
0.1,103,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,180,191,600,600,medium,32,4,1,64,600,600,0.5386922356132439,0.0685338990510368,0.04975980558299261,0.02710397745367263
0.1,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,180,191,600,600,medium,32,4,1,64,600,600,2.608613810966946,0.05292454061618403,0.03931348708154237,0.02146549707366648
0.1,103,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,180,191,600,600,medium,32,4,1,64,600,600,0.8873863340109771,0.0481590618903071,0.03990315043818515,0.02578836919340525
0.1,103,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,180,191,600,600,medium,32,4,1,64,600,600,1.3204720491894373,0.04442089574337733,0.03528178949507725,0.021934217099018292
0.1,103,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,180,191,600,600,medium,32,4,1,64,600,600,1.431806156359568,0.03210040994425874,0.026993824326686237,0.018514120072237635
0.1,104,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,172,190,600,600,medium,32,4,1,64,600,600,0.5607002663963819,0.06332706446634166,0.04635341334208635,0.025528038360449874
0.1,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,172,190,600,600,medium,32,4,1,64,600,600,1.6273767365225575,0.04585338396293203,0.036177780713509265,0.021484394115349404
0.1,104,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,172,190,600,600,medium,32,4,1,64,600,600,0.9038039630080005,0.04715545523278313,0.03909656709550205,0.025137534810885542
0.1,104,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,172,190,600,600,medium,32,4,1,64,600,600,1.215006905177686,0.04917391094993555,0.03886090464881068,0.023919795847285777
0.1,104,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,172,190,600,600,medium,32,4,1,64,600,600,1.4998316864803514,0.03368051877630121,0.028015088780997087,0.018637243698579806
0.1,105,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,178,191,600,600,medium,32,4,1,64,600,600,0.6006059934370409,0.06382649580541248,0.04716310604148971,0.026338629399862815
0.1,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,178,191,600,600,medium,32,4,1,64,600,600,0.8049422686291942,0.04851375444165642,0.04099402507679962,0.026984743324042052
