beta,model_key,model_label,n_seeds,min,q1,mean,q3,max
0.1,iqp_parity_mse,IQP (parity),5,0.026228556575234752,0.02627863242971022,0.02718916865417681,0.027125733862113897,0.029452779860019724
0.1,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.01651464035742407,0.01956455024771585,0.022583513303032512,0.027100437566336455,0.027339412383222794
0.1,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.021825352214449496,0.023580092523165935,0.024562285085004566,0.025461609989580046,0.026530068808226646
0.1,classical_transformer_mle,AR Transformer (MLE),5,0.004414228566951574,0.005787881823053152,0.007135503378055489,0.006518999859563402,0.013087766214647092
0.1,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.014537051370507864,0.016674338788650867,0.017146365523616418,0.01813684090261713,0.018668782557429413
0.2,iqp_parity_mse,IQP (parity),5,0.026618211958113095,0.027462377320457615,0.027612184901844306,0.02813342460401874,0.02837405483837554
0.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.01906410690660016,0.020818629620932134,0.02358721165067342,0.02571121672281577,0.02837037413033939
0.2,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.0244270211136717,0.024455293005268136,0.025309773364242533,0.025547181502748963,0.02679508465121235
0.2,classical_transformer_mle,AR Transformer (MLE),5,0.004052596667428712,0.004072520202610424,0.005410061066633271,0.00521923329268406,0.00850081274584727
0.2,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.015825037542126486,0.017093767259150464,0.017634912593349088,0.0186873412787647,0.019009775448653385
0.3,iqp_parity_mse,IQP (parity),5,0.0251103822024257,0.026506970921266502,0.026818303638799272,0.02751306378936238,0.028312614377333956
0.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.020442325759526238,0.023813547527346227,0.025029678425041564,0.026990813745702086,0.027362869568823184
0.3,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.024608746483210767,0.024936221406810715,0.025765803410747468,0.02634889752099495,0.02660179070311102
0.3,classical_transformer_mle,AR Transformer (MLE),5,0.0047856351278394585,0.007773158167524619,0.00828129840539261,0.009641555257497079,0.00989867344496628
0.3,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.018039726173173332,0.01906404015087504,0.019334081880885545,0.020178378213412902,0.020195530465836633
0.4,iqp_parity_mse,IQP (parity),5,0.025566072578385394,0.026036714654948695,0.026784234723004348,0.027221446160296182,0.028145175916472975
0.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.0206473032662549,0.025294326306680204,0.024983575775791605,0.026011932314234036,0.027277897180673402
0.4,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.024962832771139178,0.025283707315571165,0.02571467597911601,0.025833109387984245,0.026870578466120867
0.4,classical_transformer_mle,AR Transformer (MLE),5,0.005465051583082062,0.008424136065663093,0.012189165434646402,0.01750090248652519,0.018962707628610995
