variant,family,seed,param_count,d_model,layers,nhead,dim_ff,val_nll,test_kl
iqp_parity,iqp,111,24,,1,,,7.5395359573595995,0.9020031032596514
tiny,transformer,111,729,8,1,2,16,7.714041861670357,2.2086725819232136
small,transformer,111,2481,16,1,2,32,7.707605644330744,3.1128039616010006
medium,transformer,111,9057,32,1,4,64,7.7772640412022085,3.652073699523803
large,transformer,111,67969,64,2,4,128,9.170286192745648,5.539416826362171
iqp_parity,iqp,112,24,,1,,,7.508033266141726,0.9126186604691345
tiny,transformer,112,729,8,1,2,16,7.669109354622449,2.183407289952342
small,transformer,112,2481,16,1,2,32,7.670747359156699,2.623050041237309
medium,transformer,112,9057,32,1,4,64,7.774539577104899,2.8624105831184443
large,transformer,112,67969,64,2,4,128,9.305367569693292,5.280912012104963
iqp_parity,iqp,113,24,,1,,,7.306937957057816,0.7123117974371455
tiny,transformer,113,729,8,1,2,16,7.650636788184079,2.4682442277858057
small,transformer,113,2481,16,1,2,32,7.6427291325364095,3.11976026053367
medium,transformer,113,9057,32,1,4,64,7.659247082579478,3.0588664728422654
large,transformer,113,67969,64,2,4,128,7.959442916978845,1.753205812416594
iqp_parity,iqp,114,24,,1,,,7.475407937610208,1.0703015348018372
tiny,transformer,114,729,8,1,2,16,7.657190710707413,1.5545561624283313
small,transformer,114,2481,16,1,2,32,7.724631855520618,1.7379131302756976
medium,transformer,114,9057,32,1,4,64,7.8764181492150325,2.768961685082286
large,transformer,114,67969,64,2,4,128,10.673356090591271,6.6355184474715685
iqp_parity,iqp,115,24,,1,,,7.553333269377519,0.9252095712209958
tiny,transformer,115,729,8,1,2,16,7.708542803809069,2.5817173233293342
small,transformer,115,2481,16,1,2,32,7.701621609107951,2.4533827367375522
medium,transformer,115,9057,32,1,4,64,7.720489954414785,3.3710000037486068
large,transformer,115,67969,64,2,4,128,8.105948379027819,4.791131110578692
iqp_parity,iqp,116,24,,1,,,7.399870910034905,0.8935645903499609
tiny,transformer,116,729,8,1,2,16,7.561912365022891,2.283194949630523
small,transformer,116,2481,16,1,2,32,7.63282477242852,2.7761749595810925
medium,transformer,116,9057,32,1,4,64,7.832531658001563,5.174238821349892
large,transformer,116,67969,64,2,4,128,9.322458642019267,6.858725965158047
iqp_parity,iqp,117,24,,1,,,7.550076905109688,1.0073698416863366
tiny,transformer,117,729,8,1,2,16,7.737586230660865,1.7563345778461363
small,transformer,117,2481,16,1,2,32,7.956064446186201,1.8230566867370728
medium,transformer,117,9057,32,1,4,64,7.709013326125635,2.617389177988537
large,transformer,117,67969,64,2,4,128,8.667479621049404,5.251842631327012
iqp_parity,iqp,118,24,,1,,,7.5498835076052435,1.2099861348886791
tiny,transformer,118,729,8,1,2,16,7.811385018229397,2.6016387920015465
small,transformer,118,2481,16,1,2,32,7.796270974918365,1.8594142435468037
medium,transformer,118,9057,32,1,4,64,8.038751264363889,3.808208019443465
large,transformer,118,67969,64,2,4,128,7.819554333235596,4.882749458185553
iqp_parity,iqp,119,24,,1,,,7.46597159737775,1.1994365255253203
tiny,transformer,119,729,8,1,2,16,7.724684773229985,1.7312459636007322
small,transformer,119,2481,16,1,2,32,7.790371328720752,1.7186495153735557
medium,transformer,119,9057,32,1,4,64,7.764795563057127,2.0899736672953813
large,transformer,119,67969,64,2,4,128,9.85508200240568,6.245472905699615
iqp_parity,iqp,120,24,,1,,,7.605642702974328,0.9715359661863385
tiny,transformer,120,729,8,1,2,16,7.743574705931081,2.2973129206100995
small,transformer,120,2481,16,1,2,32,7.696116651807837,1.904045583074414
medium,transformer,120,9057,32,1,4,64,7.893273187589782,2.7718889803961155
large,transformer,120,67969,64,2,4,128,8.421140002970558,4.438244839396711
