beta,seed,n,score_level,target_mass,iqp_parity_mass,iqp_mse_mass,best_sigma,best_K,parity_kl,mse_kl
0.9,42,12,1,0.0005333468570824586,0.03835296229514417,0.033260568340172415,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,2,0.015883677618232343,0.03073272453110712,0.03189377022971302,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,3,0.0628743268328294,0.06732097826512783,0.056914679453748576,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,4,0.09866450672588896,0.09362029690390278,0.08754155580717668,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,5,0.11658976439680757,0.11687780428403734,0.12526745203923534,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,6,0.12456740513568597,0.1313333153618119,0.10723384615256851,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,7,0.12766099050853383,0.11794862775449595,0.09961269805220738,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,8,0.12559814777126713,0.130340241359687,0.12175979230493039,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,9,0.11584559813015952,0.10134109469904277,0.11127602845715508,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,10,0.09497806452492605,0.085290278492791,0.09659191430919073,2.0,512,0.3600354080174295,0.5386346833059161
0.9,42,12,11,0.11680417149858686,0.08684167605285212,0.12864769485390187,2.0,512,0.3600354080174295,0.5386346833059161
